Reactant1_SMILES,Reactant2_SMILES,Product1_SMILES,Product2_SMILES,INCHI_KEY,SMILES,AG_Rule Systemic,AG_Rule Leaf,MW,logP,exactMolWeight,fractionCSP3,ringCount,Number of aromatic rings,HBD,HBA,Heavy atoms,TPSA,Flexibility,Rotatable Bonds,numHeteroatoms,numSaturatedHeterocycles,numRadicalElectrons,numAromaticHeterocycles,noCount,numAliphaticRings,numValenceElectrons,heavyAtomMolWeight,numSaturatedRings,numAliphaticHeterocycles,nhohCount,SIMILAR,IDENTICAL
COc1c(F)cc(F)cc1B(O)O,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(F)cc(F)c2OC)cc1C,,AFGGBEBMWAESLU-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(F)cc(F)c2OC)cc1C,0.0,0.8,453.51,4.12,453.14,0.4091,3,2,0,6,31,72.91,6,5,9,1,0,0,6,1,168,428.31,1,1,0,CSDK485609|CSDM979629,
COc1c(F)cc(F)cc1B1OC(C)(C)C(C)(C)O1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(F)cc(F)c2OC)cc1C,,AFGGBEBMWAESLU-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(F)cc(F)c2OC)cc1C,0.0,0.8,453.51,4.12,453.14,0.4091,3,2,0,6,31,72.91,6,5,9,1,0,0,6,1,168,428.31,1,1,0,CSDK485609|CSDM979629,
Cn1cc2ccc(-c3cc4c(cc3Cl)COB4O)cc2n1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(-c3ccc4cn(C)nc4c3)c(Cl)cc2C)cc1C,,DGRQLMGNWOKKTC-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(-c3ccc4cn(C)nc4c3)c(Cl)cc2C)cc1C,0.0,0.0,566.12,6.35,565.18,0.3333,5,4,0,7,39,81.5,6,5,9,1,0,1,7,1,204,533.87,1,1,0,,
CC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)c(F)cc1F,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(C(C)=O)c(F)cc2F)cc1C,,ABDREUQRHKJNHT-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(C(C)=O)c(F)cc2F)cc1C,0.0,0.6,465.52,4.31,465.14,0.3913,3,2,0,6,32,80.75,6,5,9,1,0,0,6,1,172,440.32,1,1,0,,
CCn1ncc(NC(=O)C(F)(F)F)c1B1OC(C)(C)C(C)(C)O1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2c(NC(=O)C(F)(F)F)cnn2CC)cc1C,,BPYVGPHITHOYQJ-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2c(NC(=O)C(F)(F)F)cnn2CC)cc1C,0.0,0.0,516.54,3.55,516.17,0.5,3,2,1,9,35,110.6,9,6,13,1,0,1,9,1,192,489.33,1,1,1,,
OB(O)c1ccc(-c2ccn[nH]2)cc1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(-c3ccn[nH]3)cc2)cc1C,,CLMJBLKNEJZJDN-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(-c3ccn[nH]3)cc2)cc1C,0.0,0.6,453.56,4.22,453.17,0.3333,4,3,1,7,32,92.36,6,5,8,1,0,1,7,1,168,426.35,1,1,1,CSDM979629,
CC1(C)OB(c2ccc(-c3ccn[nH]3)cc2)OC1(C)C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(-c3ccn[nH]3)cc2)cc1C,,CLMJBLKNEJZJDN-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(-c3ccn[nH]3)cc2)cc1C,0.0,0.6,453.56,4.22,453.17,0.3333,4,3,1,7,32,92.36,6,5,8,1,0,1,7,1,168,426.35,1,1,1,CSDM979629,
CC(C)(C)OC(=O)NC1CCc2cc(B3OC(C)(C)C(C)(C)O3)ccc2C1,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc3c(c2)CCC(NC(=O)OC(C)(C)C)C3)cc1C,,FDYRHJNDJUUYOO-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc3c(c2)CCC(NC(=O)OC(C)(C)C)C3)cc1C,0.0,0.0,556.73,5.21,556.26,0.5333,4,2,1,8,39,102.01,9,5,9,1,0,0,8,2,212,516.41,1,1,1,,
CC1(C)OB(c2ccnn2C2CC2)OC1(C)C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccnn2C2CC2)cc1C,,CHMKVLXIQADKEY-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccnn2C2CC2)cc1C,0.07,1.0,417.53,3.36,417.17,0.5238,4,2,0,7,29,81.5,6,5,8,1,0,1,7,2,156,390.32,2,1,0,,
O=C1CCCN1CC1OB(O)c2ccccc21,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccccc2CCN2CCCC2=O)cc1C,,ATBRLUPLGWDNRT-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccccc2CCN2CCCC2=O)cc1C,0.0,0.0,498.65,4.0,498.22,0.4815,4,2,0,7,35,83.99,8,7,8,2,0,0,7,2,188,464.37,2,2,0,,
O=Cc1ccc(B(O)O)cc1Cl,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(C=O)c(Cl)c2)cc1C,,FBMZDLABEAKBAZ-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(C=O)c(Cl)c2)cc1C,0.0,1.0,449.96,4.3,449.11,0.3636,3,2,0,6,30,80.75,6,5,8,1,0,0,6,1,160,425.76,1,1,0,CSDM979629|CSDM982125,
CC1(C)OB(c2ccc(C=O)c(Cl)c2)OC1(C)C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(C=O)c(Cl)c2)cc1C,,FBMZDLABEAKBAZ-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2ccc(C=O)c(Cl)c2)cc1C,0.0,1.0,449.96,4.3,449.11,0.3636,3,2,0,6,30,80.75,6,5,8,1,0,0,6,1,160,425.76,1,1,0,CSDM979629|CSDM982125,
Cc1ccc(C)n1-c1cc2c(cc1Cl)COB2O,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(Br)cc1C,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(-n3c(C)ccc3C)c(Cl)cc2C)cc1C,,BYGAFZMVEJJOAX-UHFFFAOYSA-N,CCOC(=O)C1(C)CCS(=O)(=O)N1c1c(C)cc(-c2cc(-n3c(C)ccc3C)c(Cl)cc2C)cc1C,0.0,0.0,529.1,6.2,528.18,0.3929,4,3,0,6,36,68.61,6,5,8,1,0,1,6,1,192,495.84,1,1,0,,
